#,Question,Answer A,Answer B,Answer C,Answer D,Correct Answer,Skill
1,"The Chilean volcano Calabozos is located in 	area.
Therefore, the risk of loss of human life in the event of an eruption is minimal.
Which choice completes the text with the most logical and precise word or phrase?",a hazardous,an active,a mountainous,a remote,D,
2,"Contemporaries of American modernist poet H.D. focused only on her important contributions to the Imagist movement in the 1920s, taking  	view of her work. However, she wrote in a variety of forms and genres, from short, lyrical works to complex, book-length poems.
Which choice completes the text with the most logical and precise word or phrase?",an expansive,a limited,an imaginative,a complicated,B,
3,"Since the 1950s, scientists have known that rapid eye movement, or REM, occurs when someone is sleeping. Previous studies attempting to determine the meaning of these eye movements have been unsuccessful in part because these studies relied on human subjects recalling the content of their dreams. A recent study by physiologists Yuta Senzai and Massimo Scanziani has avoided this issue by studying dreaming mice instead. Their results suggest that REM is correlated to changes in direction during the dream.
Which choice best describes the function of the second sentence in the overall structure of the text?",It names a problem in the approach taken by Senzai and Scanziani.,It introduces the difficulty that the study by Senzai and Scanziani was designed to bypass.,It presents the findings of studies done prior to the study by Senzai and Scanziani.,It clarifies how others studying REM sleep interpret the study by Senzai and Scanziani.,B,
4,"Electroreception is the ability of an animal to sense the flow of electricity around it by using specialized organs known as electroreceptors. Most species known to use electroreception are fish, including many sharks, elephant fishes, and eels. However. electroreception is not limited to fish. Monotremes, a group of mammals that includes the platypus and some echidnas, have electroreceptors on or near their mouths to help locate prey. There is also some evidence that bees can detect static electricity on flowers. Which choice best describes the function of the third sentence in the overall structure of the text?",It generalizes the phenomenon discussed beyond fishes.,It offers another explanation of electroreception that is different from the explanation of how electroreception is used by fishes.,It provides more examples of animals with electroreception.,It explains how electroreception evolved in monotremes and bees.,A,
5,"Text 1
An animal is said to have a theory of mind when it is able to act according to the mental states of other individuals. Psychologists David Premack and Guy Woodruff studied whether chimpanzees have such a theory of mind. They showed videos of human actors struggling with various problems. The chimpanzees were able to select photographs that showed the best tool to solve each actor’s problem.
Text 2
Biologist Daniel J. Povinelli and psychologists Kurt E. Nelson and Sarah T. Boysen have argued that previous research into whether chimpanzees have a theory of mind have not adequately addressed alternative explanations for the chimpanzees’ behaviors. Specifically, it may be the case that chimpanzees are following learned behaviors in a known environment, rather than applying a theory of mind in a novel situation.
Based on the texts, how would Povinelli, Nelson, and Boysen (Text 2) most likely respond to Premack and Woodruff (Text 1)?",,,,,D,
6,"The following text is from Oscar Wilde’s 1890 novel The Picture of
Dorian Gray. Dorian is seeing his portrait, painted by Basil Hallward, for the first time.
Dorian made no answer, but passed listlessly in front of his picture and turned towards it. When he saw it he drew back, and his cheeks flushed for a moment with pleasure. A look of joy came into his eyes, as if he had recognized himself for the first time. He stood there motionless and in wonder, dimly conscious that Hallward was speaking to him, but not catching the meaning of his words. The sense of his own beauty came on him like a revelation. He had never felt it before.
According to the text, what is true about Dorian?",,,,,A,
7,"The following text is from Frederick Marryat’s 1847 novel The Children of the New Forest.
The old forester lay awake the whole of this night, reflecting how he should act relative to the children; he felt the great responsibility that he had incurred, and was alarmed when he considered what might be the consequences if his days were shortened. What would become of them—living in so sequestered a spot that few knew even of its existence—totally shut out from the world, and left to their own resources?
Based on the text, what is true about the children?",,,,,A,
8,"The following text is Baron George Gordon Byron’s poem “Answer to  	’s Professions of Affection,” written around 1814. The poem is addressed to an unknown person.
In hearts like thine ne’er may I hold a place
Till I renounce all sense, all shame, all grace—
That seat,—like seats, the bane of Freedom’s realm,
But dear to those presiding at the helm—
Is basely purchased, not with gold alone;
Add Conscience, too, this bargain is your own— ‘Tis thine to offer with corrupting art
The rotten borough of the human heart.
What is the main idea of the text?",,,,,A,
9,"Sepsis is a life-threatening condition caused by the body’s response to an infection. These infections are typically bacterial but may be fungal, parasitic, or viral. The body’s response to these infections leads to increased inflammation and organ damage. This damage, in turn, results in a weakened immune system, which increases the likelihood of reinfection. In a recent study, a team of doctors and pharmacologists led by Shubham Soni claims that administering ketone esters can reduce inflammation and immune system weakening caused by sepsis.
Which finding from the team led by Soni, if true, would most directly support its claim?",,,,,A,
10,"Horses have been domesticated for thousands of years. Therefore, they show great sensitivity to the emotions of humans. Biologist Oceane Liehrmann from the University of Turku, Finland, led a team of researchers in a study of horses to determine the effect of the number of handlers (either only one person or multiple people) on the horses’ responses to a novel object. The researchers determined that horses with only one handler were less reluctant to interact with the novel object than were horses with multiple handlers. For example, 45% of horses with only one handler had no reluctance when interacting with a novel object while 	.
Which choice most effectively uses data from the table to complete the example?",,,,,B,
