#,Question,Answer A,Answer B,Answer C,Answer D,Correct Answer,Skill
1,"Shakespeare intentionally provided no stage directions for his play Macbeth regarding Which choice completes the text with the most logical and precise word or phrase? whether to have Banquo’s ghost physically present on stage or simply to have Macbeth react fearfully to something invisible, thus providing future directors with the ",confusion,dedication,instruction,liberty,D,
2,"German-Dutch paleontologist Ralph von Koenigswald was the first to discover the fossilized remains of Gigantopithecus blacki, a gargantuan ape believed to have lived during the Pleistocene Epoch. Because the fossils were exclusively found in caves in southern China, many experts believe that the species was Which choice completes the text with the most logical and precise word or phrase?",restricted to,eliminated from,common in,unknown to,A,
3,"Computer scientist Ray Kurzweil _that although artificial intelligence will not displace human beings, it will undoubtedly become smarter than people within this generation. This possibility has been the domain of science fiction writers for decades, whose works explore the ramifications of just such a future. Which choice completes the text with the most logical and precise word or phrase?",proves,requires,predicts,denies,C,
4,"In psychology, it’s critical not to generalize from the results of studies in which the subjects are not representative of the larger population. The infamous Stanford Prison Experiment_this principle: the participants, whose behavior supposedly demonstrated the “human” tendency towards alarming aggression in authoritarian situations, were a handful of male college-age individuals from the same private university in California rather than a diverse sampling of subjects.Which choice completes the text with the most logical and precise word or phrase? ",illustrates,refutes,supersedes,critiques,A,
5,"Neurologists know that prosopagnosia—the __to recognize faces—involves a specific lesion in the brain and can be caused by disease or head injury. However, prominent author Dr. Oliver Sacks believes that this “face blindness” also has a definite genetic component.Which choice completes the text with the most logical and precise word or phrase?",capability,incapacity,tendency,reluctance,B,
6,"The shark’s competitive advantage in the oceanic ecosystem is principally due to electroreception, or ability to detect electrical impulses. Marine biologists believe that this heightened__to electrical stimuli allows the shark to easily find its prey, for as fish swim through water, their movement produces minute electrical signals. Which choice completes the text with the most logical and precise word or phrase? ",allergy,sensitivity,indifference,aversion,B,
7,"The Voynich manuscript was written on vellum dating from the fifteenth century in a script that is not found in any other source. Since cryptographers have yet to demonstrably decipher any portion of the text, the meaning and purpose of the Voynich manuscript remain Which choice completes the text with the most logical and precise word or phrase?",enigmatic,venerable,multifarious,coherent,A,
8,"It is commonly believed that, in the complex ecosystem of the Nile River in Africa, the crocodile and the Egyptian plover bird have formed an__relationship: the crocodile opens its mouth and keeps it open while the bird instinctively eats the food particles remaining in the crocodile’s teeth, thus nourishing the bird while simultaneously promoting the crocodile’s dental health.Which choice completes the text with the most logical and precise word or phrase? ",interdependent,Inexplicable,enthralling,inarticulate,A,
9,"The following text is from Herman Melville’s 1924 short novel Billy Budd and pertains to Edward Vere, the captain of the ship on which Billy is sailing.Captain the Honorable Edward Fairfax Vere, to give his full title, was a bachelor of forty or thereabouts, a sailor of distinction even in a time prolific of renowned seamen. Though allied to the higher nobility, his advancement had not been altogether owing to influences connected with that circumstance. He had seen much service, been in various engagements, always acquitting himself as an officer mindful of the welfare of his men, but never tolerating an infraction of discipline; thoroughly versed in the science of his profession, and intrepid to the verge of temerity, though never injudiciously so. According to the text, what is true of Captain Vere?",He dislikes many of the men who serve under him.,He is proud of his aristocratic background.,He is a capable and evenhanded naval officer,He prefers navy life to life outside the navy.,C,
10,"I Remember, I Remember is an 1844 poem by Thomas Hood. The poem conveys the speaker’s sadness that his life as an adult does not compare favorably to his childhood: Which quotation from the poem most effectively illustrates the claim?","“The lilacs where the robin built, / And where my brother set / The laburnum on his birthday,— / The tree is living yet!”","“I remember, I remember, / The house where I was bom, / The little window where the sun / Came peeping in at mom.”","“I remember, I remember, / The roses, red and white, / The vi’lets, and the lily-cups, / Those flowers made of light!” ","“It was a childish ignorance,/ But now ‘tis little joy / To know I’m farther off from heav’n / Than when I was a boy.”",D,
11,"Dracula is an 1897 novel by Bram Stoker. In the story, English lawyer Jonathan Harker has traveled to Transylvania to conduct business with Count Dracula at his castle. In his journal, Harker conveys his belief that he has become Dracula’s prisoner:Which quotation from Jonathan Harker’s journal most effectively illustrates the claim?","“What manner of man is this, or what manner of creature, is it in the semblance of man? I feel the dread of this horrible place overpowering me.”","“My lamp seemed to be of little effect in the brilliant moonlight, but I was glad to have it with me, for there was a dread loneliness in the place which chilled my heart and made my nerves tremble.”","“I start at my own shadow, and am full of all sorts of horrible imaginings. God knows that there is ground for my terrible fear in this accursed place!”","“I rushed up and down the stairs, trying every door and peering out of every window I could find, but after a little the conviction of my helplessness overpowered all other feelings.”",D,
12,"“In Flanders Fields” is a 1915 poem written by Lieutenant-Colonel John McCrae, a Canadian military officer who died three years later in World War I. The poem is meant to be a plea towards others to join the war effort, as is evident by the following lines: Which quotation from “In Flanders Fields” most effectively illustrates the claim?",“Loved and were loved and now we lie I In Flanders fields”,“In Flanders fields the poppies blow / Between the crosses row on row”,“To you from failing hands we throw / The torch; be yours to hold it high”,"] “We are the dead. Short days ago / We lived, felt dawn, saw sunset glow”",C,
13,"The curator of a museum claims that a dress in his possession was worn by the wife of one of Lincoln’s generals at the presidential inauguration in 1865. Radiocarbon dating, which dates organic material with an error range of about thirty years in either direction, was performed on the sleeves of the dress, revealing that they date back to the 1975-2005 period. If both the curator’s claim and the radiocarbon dating analysis are correct, that would suggest that Which choice most logically completes the text?",the dress was made sometime between 1835 and 1895 and then damaged sometime after 1975.,vintage dresses are more commonly recovered from the late twentieth and early twenty-first centuries than from the mid-nineteenth century.,"over one hundred years after the dress was made, its sleeves were replaced.",the dress was made from material different from that used for most dresses in the nineteenth century.,C,
14,"In the early 1900s, paleontologists largely believed that there were no undocumented prehistoric aquatic species that had survived to the present day because it would be impossible for such a species to have enough animals to sustain a breeding population while escaping detection in the modem era. However, a coelacanth, a large lobe- finned fish universally believed by scientists to have gone extinct sixty-six million years ago, was found off the coast of South Africa as recently as 1938. This event may suggest that Which choice most logically completes the text?",fewer coelacanths are required to sustain a breeding population than was previously thought.,it is possible for a prehistoric species to go undiscovered for longer than expected.,the scientists who determined that the coelacanth was extinct ignored critical evidence.,the same environmental conditions that eliminated the dinosaurs nearly killed off the coelacanths.,C,
15,"The door-in-the-face technique involves initially making an outrageous or unappealing request or offer, which the other person is highly likely to refuse, then following up with a more reasonable one. The subject is more likely to look favorably upon this second request or offer because it seems acceptable compared to the initial proposition. So, if an employee wants the best raise in annual salary from her boss that she can get, she might succeed by asking for a Which choice most logically completes the text?","50% raise, then asking for a 5% raise.","3% raise, then asking for a 2% raise.","10% raise, then asking for a 50% raise.","3% raise, then asking for a 3% raise again.",A,
16,"The North American Free Trade Agreement (NAFTA) was an agreement among the United States, Canada, and Mexico that was in effect between 1994 and 2020. During this time, the number of manufacturing jobs in the United States and Canada declined, but the total number of manufacturing jobs in the countries covered by NAFTA increased. This suggests that, between 1994 and 2020,Which choice most logically completes the text?",the number of manufacturing jobs in Mexico increased by a greater amount than the combined decreases in the United States and Canada.,NAFTA made it more difficult for manufacturers to establish factories in the United States and Canada.,the cost of manufacturing goods in the area covered by NAFTA decreased.,"complex goods, such as automobiles and electronics, were increasingly manufactured in the United States, Canada, and Mexico",A,
17,"American chef Alice Waters is well-known for opening the restaurant Chez Panisse, which 	the farm-to-table movement by serving local and seasonal food Which choice completes the text so that it conforms to the conventions of Standard English?",| originating,to originate,having originated,originated,D,
18,"American activists Dolores Huerta and Cesar Chavez founded the National Farm Workers Association in 1962 to defend the rights of farm workers through nonviolent organizing tactics, such as marches and boycotts.	organization merged with the Agricultural Workers Organizing Committee, led by Larry Itliong, to form United Farm Workers, a labor union that advocates on behalf of farm workers across the US.Which choice completes the text so that it conforms to the conventions of Standard English?",Its,Their,It’s,They’re,B,
19,"Researchers at the University of York found that people who are highly individualistic feel less connected to the natural world and engage in fewer activities to improve the environment; however, engaging with nature through activities such as walking and bird­watching can reconnect 	to the natural world and encourage environmentally-ffiendly behaviors.Which choice completes the text so that it conforms to the conventions of Standard English?",it,you,one,them,D,
20,"National flags are designed to best represent and symbolize the individual__when  countries share a history or culture, their flags are designed to look similar, thus creating a flag family that shares colors, shapes, or other elements Which choice completes the text so that it conforms to the conventions of Standard English?",country but,"country,",country,"country,but",D,
21,"Scientists at the University of Illinois and the University of Lancaster observed that plants under very bright sunlight enter a protective mode for several minutes, during which they stop photosynthesizing and growing. If the crops were genetically modified to have a shorter",could the crop yield increase?,the crop yield could increase?,the crop yield could increase.,could the crop yield increase.,A,
22,"Take Our Daughters and Sons to Work Day originally started as a day focused on engaging girls with the workforce, Take Our Daughters to Work Day. On the national day, the fourth Tuesday in April, parents and caregivers go to work with their children; shadowing their parents or caregivers children real-world experience and ideas for potential future careers Which choice completes the text so that it conforms to the conventions of Standard English?",offer,have offered,are offering,offers,D,
23,"In order to allow olive ridley turtles to lay eggs on Versova Beach in Mumbai, community activist Afroz Shah organized a large group of volunteers to remove over 11 million pounds of trash. The beach now allows community members to connect with the natural world and  a healthy habitat for olive ridley turtles to use after a twenty-year absence.Which choice completes the text so that it conforms to the conventions of Standard English?",provided,providing,provides,provide,C,
24,"Yoga is an ancient discipline from India that aims to combine physical fitness with mental and spiritual control and calm and has expanded to become popular with many different cultures.yoga is shifting into different forms to allow a wider range of people to participate. For example, accessible yoga provides opportunities for those with physical disabilities to access the health and mental benefits of the practice.Which choice completes the text with the most logical transition?","Nevertheless,","Similarly,","Thus,","Currently,",D,
25,Scientists often disagree about what traits to use to place newly discovered species in the tree of life and debate different ways to organize evolutionary relationships. Chimerarachne yingi is an extinct arachnid species that is sometimes placed near modem spiders based on its acquisition of silk-spinning organs or near other arachnids based on its loss of a tail. Which choice completes the text with the most logical transition?,"as a result,","in comparison,","for example,","still,",C,
26,"In 2011, a seismometer detected seismic activity from a magnitude 8.9 earthquake and automatically cut the power to all 30 bullet trains in Japan, potentially avoiding mass architectural damage to the tracks.the cut to the power prevented citizens from being caught in a dangerous location during the earthquake and allowed riders to seek shelter.Which choice completes the text with the most logical transition?","In addition,","In comparison,","| For example,","Specifically,",A,
27,"While researching a topic, a student has taken the following notes The student wants to make a generalization about the kind of study conducted by Eberhard, Wilcove, and Dobson. Which choice most effectively uses relevant information from the notes to accomplish this goal",Scientists have analyzed population trends to find out the impact of legal protections in the realm of conservation.,Species listed under the ESA have low population levels when they are listed.,Only 54 once-listed species have been delisted; many more species have not recovered and are still listed.,"Based on an analysis of population trends, Eberhard, Wilcove, and Dobson found that species listed under the ESA have very small populations when listed.",A,
