Question number,Question,A,B,C,D,Correct,Skill,Difficulty,Unit,Lesson
1,"The following text is from Emilia Pardo-Bazan's 1898 short story ""First Love:"" But one day-I remember as well as if it were today-in the corner of the top drawer, and lying on some collars of old lace, I saw something gold glittering-I put in my hand, unwittingly crumpled the lace, and drew out a portrait, an ivory miniature, about three inches long, in a frame of gold. I was struck at first sight. A sunbeam streamed through the window and fell upon the alluring form, which seemed to wish to step out of its dark background and come towards me. It was the most lovely creature, such as I had never seen except in the dreams of my adolescence. As used in the text, what does the word ""struck"" most nearly mean? Please give 1 answer.",fascinated,sounded,hurt,hit,D,Vocabulary in Context ,Hard,,Craft and Structure
2,"In her 1917 “Address to the United States Congress,” Carrie Chapman Catts, president of the National American Woman Suffrage Association, urged Congress to women's grievances by immediately putting forward legislation granting women the right to vote. Citing a history of delays, political tricks, and dishonesty, Catts warned legislators that once women could vote, they would remember those who opposed them with suspicion. She argued that this issue was so important that, despite having to defend themselves in World War I, some of America's allies in that war had already passed legislation expanding the right to vote to women. Which choice completes the text with the most logical and precise word or phrase? Please give 1 answer.",complement,forewarn,petition,redress,D,Vocabulary in Context ,Hard,,Craft and Structure
3,"David Sabel, a British media producer, prepared for his career with advanced degrees in both acting and business. Despite the traditional in education between business and the arts, he argues that the ability to combine creativity with effective fundraising, management, and investor reporting is crucial to keep pace with the rapid changes in the entertainment industry due to technology. Which choice completes the text with the most logical and precise word or phrase? Please give 1 answer.",amalgamation,conflation,bifurcation,explication,C,Vocabulary in Context ,Hard,,Craft and Structure
4,"Robert Liston was a British surgeon notable for several professional achievements; yet, he is largely remembered for event. During the speedy amputation of a patient's leg, Liston accidentally amputated the fingers of his surgical assistant. Both the patient and assistant subsequently died of gangrene. A spectator at the surgery fainted, dying from shock. Thus, Liston is known for conducting the only surgery in history with a 300% mortality rate. Which choice completes the text with the most logical and precise word or phrase? Please give 1 answer.",a glorious,a wily,an infamous,a trite,C,Vocabulary in Context ,Hard,,Craft and Structure
5,"Ludonarrative dissonance is a term used in the study and design of video game. It refers to an the narrative of a game’s story, told through cut-scenes or dialogue, and the narrative created by the gameplay. For example, the story might ostensibly be about a thief struggling with the morality of stealing to provide for her family. However, if the fun of gameplay is centered on stealth, sneaking past guards to rob a safe or steal famous artwork, then a clash is created between what the story and gameplay are saying about theft. Which choice completes the text with the most logical and precise word or phrase? Please give 1 answer.",objectification of,expunging of,ambivalence toward,incompatibility between,D,Vocabulary in Context ,Hard,,Craft and Structure
6,"The following text is from Kate Chopin’s 1894 short story, ''A Respectable Woman.” Mrs. Baroda was a little provoked to learn that her husband expected his friend, Gouvernail, up to spend a week or two on the plantation... This was a man she had heard much of but never seen. He had been her husband’s college friend; was now a journalist, and in no sense a society man or “a man about town,” which were, perhaps, some of the reasons she had never met him. But she had unconsciously formed an image of him in her mind. She pictured him tall, slim, cynical; with eyeglasses, and his hands in his pockets; and she did not like him. Gouvernail was slim enough, but he wasn't very tall nor very cynical; neither did he wear eyeglasses nor carry his hands in his pockets. And she rather liked him when he first presented himself. But why she liked him she could not explain satisfactorily to herself when she partly attempted to do so. Which choice best states the function of the underlined sentence in the text as a whole? Please give 1 answer.",It provides the background explanation for the emotional reaction that introduces the text.,It sets up the contrast with the character description that follows.,It introduces the situation that leads to the conflict presented in the sentences that follow.,It establishes an important physical description of a character mentioned earlier.,B,Text Structure and Purpose ,Hard,,Craft and Structure
7,"The following text is from A. A. Milne's 1922 novel The Red House Mystery. It was understood - and this, anyhow, on Mark's own authority - that his father had been a country clergyman. It was said that, as a boy, Mark had attracted the notice, and patronage, of some rich old spinster of the neighborhood, who had paid for his education, both at school and university. At about the time when he was coming down from Cambridge, his father had died; leaving behind him a few debts, as a warning to his family, and a reputation for short sermons, as an example to his successor. Neither warning nor example seems to have been effective. Mark went to London, with an allowance from his patron, and (it is generally agreed) made acquaintance with the moneylenders. He was supposed, by his patron and any others who inquired, to be ""writing""; but what he wrote, other than letters asking for more time to pay, has never been discovered. Which choice best states the function of the underlined sentence in the text as a whole? Please give 1 answer.",It explains the source of the conflict addressed in the previous sentences.,It restates the reason the main character left home.,It establishes an important personality trait of the main character.,It introduces the setting described in the following sentences.,C,Text Structure and Purpose ,Hard,,Craft and Structure
8,"Pharmaceutical companies dream of a time when their research and development process shifts from looking for illnesses whose symptoms can be ameliorated by a specific drug to choosing a disease and creating a drug to eradicate it. Quantum computing may be the key to that goal. The powerful modeling potential unlocked by quantum computing may also someday be employed by autonomous vehicles to create a world free of traffic jams. With plausible applications in so many fields, it is worthwhile to learn a bit about how quantum computing works. Which choice best describes the function of the second sentence in the overall structure of the text? Please give 1 answer.",It explains why quantum computing will allow for creating specifically-tailored medication on demand.,It establishes multiple possible applications of quantum computing.,It introduces the mechanism by which the goal introduced in the first sentence may be made real.,It restates the goal of pharmaceutical companies.,C,Text Structure and Purpose ,Hard,,Craft and Structure
9,"""Calligraffiti"" is art that combines calligraphy, or artistic handwriting, with graffiti, or drawing on a public surface. Artist eL Seed is noted for his monumental installations that use traditional Arabic calligraphy to inscribe inspirational quotations on the sides of buildings. One of his most ambitious and complex projects, ""Perceptions,” extends over the walls of fifty homes in Cairo, Egypt. The complete inscription, “'Anyone who wants to see the sunlight clearly must first wipe his eyes,” is only fully visible from one vantage point. For this project, eL Seed used photographs of the neighborhood overlaid with his digitized calligraphy to ensure that the images on every wall of his massive project would align properly. Which choice best describes the function of the fourth sentence in the overall structure of the text? Please give 1 answer.",It explains the importance of the quotations mentioned earlier in the text.,It sets up the detailed description of the artist's method made earlier in the text.,It describes the reasons behind the author's motivation discussed earlier in the text.,It provides a detail about the complexity of the project that supports a claim made earlier in the text.,D,Text Structure and Purpose ,Hard,,Craft and Structure
10,"Text 1 Earth shares many characteristics with Venus, its closest planetary neighbor. However, Earth enjoys a wet, temperate climate while it appears that all the water once present on Venus has boiled away in its fierce heat. Because the planets are otherwise so similar, experts believe that a catastrophic event caused Venus to lose its water. Text 2 Michael Way, Richard Ernst, and Jeffery Scargle posit that volcanic activity on Earth could cause the planet to overheat and become uninhabitable. They cite the massive amounts of carbon dioxide released into the atmosphere by volcanic activity that usually cause a period of hotter temperatures followed by a return to Earth's normal, cooler temperature. But, it is possible that several large volcanic events occurring in rapid succession could raise temperatures high enough that Earth would be unable to recover. Based on the texts, what would the author of Text2 most likely say about the conclusion drawn in Text 1? Please give 1 answer.","It is reasonable, given the similarities between the planets and the theory of Way, Ernst, and Scargle","It is valid, despite the differences between the temperature of Venus and that of Earth","It is unlikely, given the similarities between the planets and the theory of Way, Ernst, and Scargle.","It is questionable, since the similarities between the planets indicate the temperature of Venus should be comparable to that of Earth.",A,Cross-Text Connections ,Hard,,Craft and Structure
