#,Questions,Answer A,Answer B,Answer C,Answer D,Correct Answer,Skills
1,"Dutch philosopher Baruch Spinoza argued as part of his rejection of dualism that all things, living or not, have the inclination to continue to exist and enhance themselves, a property he named “conatus.” All things, he believed, had the tendency to and would only cease to be if acted upon by outside forces.Which choice completes the text with the most logical and precise word or phrase?",Deteriorate,perish,persevere,disappear,C,
2,"Many species demonstrate rescue behavior, a behavior in which an individual will help another in distress without any obvious benefit to the helper. In fact, this behavior a recent study of Australian magpies when some birds in the study helped other birds remove the trackers that researchers had placed upon them, making it more difficult for the researchers to obtain data.Which choice completes the text with the most logical and precise word or phrase?",aided,impeded,clarified,exposed,B,
3,"Dutch artist M.C. Escher’s work uses to engage viewers by employing mathematical and intuitive processes to create images of objects that at first appear normal but on closer inspection are, in fact, impossible.Which choice completes the text with the most logical and precise word or phrase?",geometry,beauty,paradox,_,C,
4,"Typically, pure water is not considered particularly , but a team of scientists led by Richard Zare has discovered how microdroplets of water can turn into caustic hydrogen peroxide. When microdroplets of water hit a solid surface, an electric charge jumps between the water and the solid, producing hydroxyl radicals that, in turn, combine with remaining oxygen to form hydrogen peroxide.Which choice completes the text with the most logical and precise word or phrase?",viable,contaminated,common,reactive,D,
5,"The Beat Generation, a literary subculture movement featured in works such as Allen Ginsberg’s Howl (1956) and William S. Burroughs’s Naked Lunch (1959), was characterized by its 	the traditional values of the 1950s. The movement’s central message of nonconformity would be criticized by American literary critic Manuel Luis Martinez, who believed that the Beat Generation’s lack of attention to the politics of individualism undermined the movement’s goals.Which choice completes the text with the most logical and precise word or phrase?",dissension from,gratitude towards,adherence to,deference to,A,
6,"The possibility of recycling used car tires as building materials is indeed: the disposal of used tires is a major environmental problem, so potentially reusing them would be beneficial. Furthermore, initial studies have shown that walls made of used tires and dirt are more structurally robust than those made of concrete.Which choice completes the text with the most logical and precise word or phrase?",derivative,ludicrous,auspicious,innovative,C,
7,"The Voynich manuscript was written on vellum dating from the fifteenth century in a script that is not found in any other source. Since cryptographers have yet to demonstrably decipher any portion of the text, the meaning and purpose of the Voynich manuscript remain Which choice completes the text with the most logical and precise word or phrase?",enigmatic,venerable,multifarious,coherent,A,
8,Astronautics owes much to the contributions of Charles . Whitsett. His ground-breaking development of the manned maneuvering unit enabled the first spacewalks in which astronauts were not tethered to a spacecraft Which choice completes the text with the most logical and precise word or phrase?,dubious,futile,galvanizing,avant-garde,D,
9,"The following text is adapted from Charles Dickens’s 1859 novel A Tale of Two Cities. Mr. Lorry, traveling to France on business, is delivering some news to Miss Manette, the daughter of one of his friends “Miss Manette, I am a man of business. I have a business charge to acquit myself of. In your reception of it, don’t heed me any more than if I was a speaking machine—truly, I am not much else. I will, with your leave, relate to you, miss, the story of one of our customers.”He seemed wilfully to mistake the word she had repeated, when he added, in a hurry, “Yes, customers; in the banking business we usually call our connection our customers. He was a French gentleman; a scientific gentleman; a man of great acquirements —a Doctor.” Based on the text, how does Mr. Lorry interact with Miss Manette?","Although he claims to be uninterested in the news, he makes purposeful decisions during his conversation with Miss Manette","Although he is a professional, he misunderstands Miss Manette’s interjection.","Although he acts as if the news has no importance to him, he cannot keep the details of the story accurate.","Although he is unthinkingly following directions, he is flustered by Miss Manette’s rudeness.",A,
10,"Nisga’a poet Jordan Abel addresses the experiences of Indigenous people as European settlers and their descendants took over North America. Abel’s first book of poetry, The Place of Scraps (2014), uses Totem Poles, a 1929 book by anthropologist Marius Barbeau, as source material. Abel claims that his use of Barbeau’s text shows how anthropological texts can be used to portray Indigenous people differently based on the author.Which finding, if true, would most directly support Abel’s claim?",Abel intersperses Barbeau’s text with images of Indigenous people and personal anecdotes written in the third person.,"Abel explains that Barbeau presented two chiefs feuding over constructing the largest pole as unreasonable, yet other anthropologists claim that such arguments between chiefs of Indigenous tribes were important political exchanges.",The Place of Scraps won the Dorothy Livesay Poetry Prize and was a finalist for the Gerald Lampert Award.,"Before Abel wrote The Place of Scraps, other Indigenous writers had used texts from anthropologists in their works.",B,
11,"In Japan, adults may be legally adopted into a family. The practice may have started as early as the 13th century CE, but widespread adult adoption dates from the Tokugawa shogunate, a military government which began around 1600 CE. During this time, members of the ruling class would adopt competent adult males, who would then ensure that the family’s political and business interests would be sustained. While adult adoption remains a way for individuals to improve their economic and social status, the practice has its detractors as well, with some researchers arguing that it can lead to issues with the adoptee developing a firm sense of identity in his or her new environment.Which of the following best illustrates the researcher’s claim?","Adult adoptees are entitled to an inheritance from their adoptive families, strengthening the ties between them, which further encourages the adult adoptee to work to enhance the new family’s prosperity.","While most adult adoptees typically report improved financial status after adoption, many of those same adoptees also experience higher-than-normal rates of depression and anxiety.","Elsewhere in East Asia, such as in China and Korea, families have a traditional obligation to adopt blood relatives who lack more closely-related living kin, but adoptions in Japan are almost exclusively between those with no blood relations.",Families with ancestors who were adult adoptees do not distinguish between those ancestors who were members of the family by birth and those who were adopted into the family.,B,
